"Molecule.ChEMBL.ID","Smiles","Standard.Value"
"CHEMBL3808612","COc1ccc(/C=C/C(=O)c2ccc(Nc3nc(-c4ccccc4)nc4ccccc34)cc2)cc1OC",0.29
"CHEMBL4160887","COc1cccc(-c2nc(Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)c3ccccc3n2)c1",0.291
"CHEMBL4176113","COc1ccc(Nc2nc(-c3cccc(C#N)c3)nc3ccccc23)cc1O",0.297
"CHEMBL4099533","CC(C)(C)OC(=O)c1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1",0.299
"CHEMBL4095392","COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(N)cc3)n2)c1",0.299
"CHEMBL4172203","COc1ccc(-c2nc(Nc3ccc(O)c([N+](=O)[O-])c3)c3ccccc3n2)cc1OC",0.305
"CHEMBL3883221","CCOc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccccc3[N+](=O)[O-])n2)cc1",0.308
"CHEMBL3810065","COc1cccc(/C=C/C(=O)c2cccc(Nc3nc(-c4ccc(OC)c(OC)c4)nc4ccccc34)c2)c1",0.31
"CHEMBL3353417","COc1cccc(CCn2c3c(c4c2-c2ccccc2C4=O)C(=O)CCC3)c1",0.31
"CHEMBL446339","COc1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1",0.317
"CHEMBL3883362","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(OC)c(OC)c3)n2)cc1",0.319
"CHEMBL3092500","COc1cc2nc(Nc3cccc([N+](=O)[O-])c3)nc(Nc3cccc([N+](=O)[O-])c3)c2cc1OC",0.32
"CHEMBL3810327","COc1ccc(/C=C/C(=O)c2cccc(Nc3ncnc4cc(OC)c(OC)cc34)c2)cc1",0.32
"CHEMBL410316","COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3",0.321
